,X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP6 RTT(mm),AP7 RTT(mm),AP8 RTT(mm),AP9 RTT(mm),AP10 RTT(mm),AP11 RTT(mm),AP12 RTT(mm),AP13 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),AP6 RSS(dBm),AP7 RSS(dBm),AP8 RSS(dBm),AP9 RSS(dBm),AP10 RSS(dBm),AP11 RSS(dBm),AP12 RSS(dBm),AP13 RSS(dBm),LOS APs
32,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27160.0,22460.0,12679.0,4957.0,8496.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-76.0,-60.0,-65.0,None
33,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27169.0,22254.0,12629.0,5041.0,8220.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-95.0,-76.0,-60.0,-66.0,None
34,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27163.0,100000.0,12601.0,5044.0,8348.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-76.0,-60.0,-66.0,None
35,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27051.0,19891.0,12682.0,5013.0,8475.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-96.0,-76.0,-60.0,-66.0,None
36,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26932.0,100000.0,12604.0,5016.0,8529.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-59.0,-65.0,None
37,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27094.0,22470.0,12663.0,5016.0,8627.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-101.0,-76.0,-60.0,-66.0,None
38,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27051.0,19770.0,12682.0,5161.0,8573.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-97.0,-77.0,-59.0,-65.0,None
39,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27201.0,100000.0,12516.0,100000.0,8496.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-75.0,-200.0,-66.0,None
40,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27213.0,24823.0,12594.0,5128.0,8416.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-97.0,-76.0,-60.0,-66.0,None
41,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,35491.0,27279.0,19891.0,12641.0,5102.0,8494.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-91.0,-101.0,-76.0,-59.0,-66.0,None
42,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27115.0,25770.0,12673.0,5081.0,8494.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-103.0,-77.0,-59.0,-66.0,None
43,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27323.0,20126.0,12601.0,5041.0,8576.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-101.0,-77.0,-60.0,-66.0,None
44,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27091.0,25160.0,12604.0,100000.0,8557.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-95.0,-77.0,-200.0,-66.0,None
45,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27091.0,22695.0,12720.0,4992.0,8095.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-76.0,-59.0,-66.0,None
46,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26973.0,20473.0,12516.0,5051.0,8034.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-99.0,-76.0,-60.0,-66.0,None
47,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27284.0,21410.0,12701.0,4985.0,8421.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-60.0,-66.0,None
48,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27323.0,100000.0,12720.0,5076.0,8262.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-76.0,-60.0,-65.0,None
49,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27600.0,19605.0,12641.0,5051.0,8271.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-100.0,-77.0,-59.0,-65.0,None
50,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27232.0,22723.0,12638.0,5107.0,8416.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-98.0,-77.0,-59.0,-65.0,None
51,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27038.0,19648.0,12588.0,4523.0,8386.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-77.0,-60.0,-66.0,None
